Event,Shape Type,en: Indicator Name,en: Scale Name,ka: Scale Name,Scale Color,en: Scale Name,ka: Scale Name,Scale Color,en: Scale Name,ka: Scale Name,Scale Color,en: Scale Name,ka: Scale Name,Scale Color,en: Scale Name,ka: Scale Name,Scale Color,en: Scale Name,ka: Scale Name,Scale Color,en: Scale Name,ka: Scale Name,Scale Color,en: Scale Name,ka: Scale Name,Scale Color,en: Scale Name,ka: Scale Name,Scale Color,en: Scale Name,ka: Scale Name,Scale Color,en: Scale Name,ka: Scale Name,Scale Color,en: Scale Name,ka: Scale Name,Scale Color
2008 Presidential,Region,Votes per minute (17:00-20:00),0,0,,0-100,0-100,,100-200,100-200,,200-300,200-300,,300-400,300-400,,400-500,400-500,,>500,>500
2008 Presidential,District,Voter share for Levan Gachechiladze,0-5,0-5,#EEDC82,5-10,5-10,#FFFF00,10-15,10-15,#F4A460,15-20,15-20,#FFB6C1,20-30,20-30,#8EE5EE,30-40,30-40,#32CD32,40-50,40-50,#006400,50-60,50-60,#00BFFF,60-70,60-70,#000080,70-80,70-80,#FF0000,80-90,80-90,#D02090,>90,>90,#B22222
2008 Presidential,District,Voter share for Arkadi (Badri) Patarkatsishvili,0-5,0-5,#EEDC82,5-10,5-10,#FFFF00,10-15,10-15,#F4A460,15-20,15-20,#FFB6C1,20-30,20-30,#8EE5EE,30-40,30-40,#32CD32,40-50,40-50,#006400,50-60,50-60,#00BFFF,60-70,60-70,#000080,70-80,70-80,#FF0000,80-90,80-90,#D02090,>90,>90,#B22222
2008 Presidential,District,Voter share for Davit Gamkrelidze,0-5,0-5,#EEDC82,5-10,5-10,#FFFF00,10-15,10-15,#F4A460,15-20,15-20,#FFB6C1,20-30,20-30,#8EE5EE,30-40,30-40,#32CD32,40-50,40-50,#006400,50-60,50-60,#00BFFF,60-70,60-70,#000080,70-80,70-80,#FF0000,80-90,80-90,#D02090,>90,>90,#B22222
2008 Presidential,District,Voter share for Shalva Natelashvili,0-5,0-5,#EEDC82,5-10,5-10,#FFFF00,10-15,10-15,#F4A460,15-20,15-20,#FFB6C1,20-30,20-30,#8EE5EE,30-40,30-40,#32CD32,40-50,40-50,#006400,50-60,50-60,#00BFFF,60-70,60-70,#000080,70-80,70-80,#FF0000,80-90,80-90,#D02090,>90,>90,#B22222
2008 Presidential,District,Voter share for Mikheil Saakashvili,0-5,0-5,#EEDC82,5-10,5-10,#FFFF00,10-15,10-15,#F4A460,15-20,15-20,#FFB6C1,20-30,20-30,#8EE5EE,30-40,30-40,#32CD32,40-50,40-50,#006400,50-60,50-60,#00BFFF,60-70,60-70,#000080,70-80,70-80,#FF0000,80-90,80-90,#D02090,>90,>90,#B22222
2008 Presidential,District,Voter share for Giorgi (Gia) Maisashvili,0-5,0-5,#EEDC82,5-10,5-10,#FFFF00,10-15,10-15,#F4A460,15-20,15-20,#FFB6C1,20-30,20-30,#8EE5EE,30-40,30-40,#32CD32,40-50,40-50,#006400,50-60,50-60,#00BFFF,60-70,60-70,#000080,70-80,70-80,#FF0000,80-90,80-90,#D02090,>90,>90,#B22222
2008 Presidential,District,Voter share for Irina Sarishvili-Chanturia,0-5,0-5,#EEDC82,5-10,5-10,#FFFF00,10-15,10-15,#F4A460,15-20,15-20,#FFB6C1,20-30,20-30,#8EE5EE,30-40,30-40,#32CD32,40-50,40-50,#006400,50-60,50-60,#00BFFF,60-70,60-70,#000080,70-80,70-80,#FF0000,80-90,80-90,#D02090,>90,>90,#B22222
2008 Presidential,District,Total Turnout,0,0,,0-5000,0-5000,,5000-10000,5000-10000,,10000-15000,10000-15000,,15000-20000,15000-20000,,20000-25000,20000-25000,,>25000,>25000
2008 Presidential,District,Votes per minute (08:00-12:00),0,0,,0-10,0-10,,10-20,10-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,>50,>50
2008 Presidential,District,Votes per minute (12:00-17:00),0,0,,0-10,0-10,,10-20,10-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,>50,>50
2008 Presidential,District,Votes per minute (17:00-20:00),0,0,,0-10,0-10,,10-20,10-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,>50,>50
2008 Presidential,Precinct,Voter share for Levan Gachechiladze,0-5,0-5,#EEDC82,5-10,5-10,#FFFF00,10-15,10-15,#F4A460,15-20,15-20,#FFB6C1,20-30,20-30,#8EE5EE,30-40,30-40,#32CD32,40-50,40-50,#006400,50-60,50-60,#00BFFF,60-70,60-70,#000080,70-80,70-80,#FF0000,80-90,80-90,#D02090,>90,>90,#B22222
2008 Presidential,Precinct,Voter share for Arkadi (Badri) Patarkatsishvili,0-5,0-5,#EEDC82,5-10,5-10,#FFFF00,10-15,10-15,#F4A460,15-20,15-20,#FFB6C1,20-30,20-30,#8EE5EE,30-40,30-40,#32CD32,40-50,40-50,#006400,50-60,50-60,#00BFFF,60-70,60-70,#000080,70-80,70-80,#FF0000,80-90,80-90,#D02090,>90,>90,#B22222
2008 Presidential,Precinct,Voter share for Davit Gamkrelidze,0-5,0-5,#EEDC82,5-10,5-10,#FFFF00,10-15,10-15,#F4A460,15-20,15-20,#FFB6C1,20-30,20-30,#8EE5EE,30-40,30-40,#32CD32,40-50,40-50,#006400,50-60,50-60,#00BFFF,60-70,60-70,#000080,70-80,70-80,#FF0000,80-90,80-90,#D02090,>90,>90,#B22222
2008 Presidential,Precinct,Voter share for Shalva Natelashvili,0-5,0-5,#EEDC82,5-10,5-10,#FFFF00,10-15,10-15,#F4A460,15-20,15-20,#FFB6C1,20-30,20-30,#8EE5EE,30-40,30-40,#32CD32,40-50,40-50,#006400,50-60,50-60,#00BFFF,60-70,60-70,#000080,70-80,70-80,#FF0000,80-90,80-90,#D02090,>90,>90,#B22222
2008 Presidential,Precinct,Voter share for Mikheil Saakashvili,0-5,0-5,#EEDC82,5-10,5-10,#FFFF00,10-15,10-15,#F4A460,15-20,15-20,#FFB6C1,20-30,20-30,#8EE5EE,30-40,30-40,#32CD32,40-50,40-50,#006400,50-60,50-60,#00BFFF,60-70,60-70,#000080,70-80,70-80,#FF0000,80-90,80-90,#D02090,>90,>90,#B22222
2008 Presidential,Precinct,Voter share for Giorgi (Gia) Maisashvili,0-5,0-5,#EEDC82,5-10,5-10,#FFFF00,10-15,10-15,#F4A460,15-20,15-20,#FFB6C1,20-30,20-30,#8EE5EE,30-40,30-40,#32CD32,40-50,40-50,#006400,50-60,50-60,#00BFFF,60-70,60-70,#000080,70-80,70-80,#FF0000,80-90,80-90,#D02090,>90,>90,#B22222
2008 Presidential,Precinct,Voter share for Irina Sarishvili-Chanturia,0-5,0-5,#EEDC82,5-10,5-10,#FFFF00,10-15,10-15,#F4A460,15-20,15-20,#FFB6C1,20-30,20-30,#8EE5EE,30-40,30-40,#32CD32,40-50,40-50,#006400,50-60,50-60,#00BFFF,60-70,60-70,#000080,70-80,70-80,#FF0000,80-90,80-90,#D02090,>90,>90,#B22222
2008 Presidential,Precinct,Total Turnout,0,0,,0-500,0-500,,500-1000,500-1000,,1000-1500,1000-1500,,1500-2000,1500-2000,,2000-2500,2000-2500,,>2500,>2500
2008 Presidential,Precinct,Votes per minute (08:00-12:00),0,0,,0-1,0-1,,1-2,1-2,,2-3,2-3,,3-4,3-4,,4-5,4-5,,>5,>5
2008 Presidential,Precinct,Votes per minute (12:00-17:00),0,0,,0-1,0-1,,1-2,1-2,,2-3,2-3,,3-4,3-4,,4-5,4-5,,>5,>5
2008 Presidential,Precinct,Votes per minute (17:00-20:00),0,0,,0-1,0-1,,1-2,1-2,,2-3,2-3,,3-4,3-4,,4-5,4-5,,>5,>5
