Event, Shape Type, Indicator Type, en: Indicator Name, ka: Indicator Name,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color,en: Scale Name, ka: Scale Name, Scale Color
2008 Parliamentary - Party List,Tbilisi District,Political Results,National Party of Radical Democrats of Georgia,სრულიად საქართველოს რადიკალ დემოკრატთა ნაციონალური პარტია,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2008 Parliamentary - Party List,Tbilisi District,Political Results,Our Country,ჩვენი ქვეყანა,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2008 Parliamentary - Party List,Tbilisi District,Political Results,Republican party,რესპუბლიკური პარტია,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2008 Parliamentary - Party List,Tbilisi District,Political Results,Right Wing Alliance Topadze Industrialists,მემარჯვენე ალიანსი თოფაძე მრეწველები,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2008 Parliamentary - Party List,Tbilisi District,Political Results,Sportsman's Union,სპორტსმენთა კავშირი,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2008 Parliamentary - Party List,Tbilisi District,Political Results,Traditionalists - Our Georgia and Women's Party,ტრადიციონალისტები ჩვენი საქართველო და ქალთა პარტია,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2008 Parliamentary - Party List,Tbilisi District,Political Results,United Opposition,გაერთიანებული ოპოზიცია,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2008 Parliamentary - Party List,Tbilisi District,Political Results,United National Movement,ნაც. მოძრაობა,%,0-5,0-5,,5-10,5-10,,10-15,10-15,,15-20,15-20,,20-30,20-30,,30-40,30-40,,40-50,40-50,,50-60,50-60,,60-70,60-70,,70-80,70-80,,80-90,80-90,,90-100,90-100,,>100,>100
2008 Parliamentary - Party List,Tbilisi Precinct,Indicators,Average votes per minute (08:00-12:00),ხმების რაოდენობა ერთ წუთში (08:00-12:00),,0,0,,0-1,0-1,,1-2,1-2,,2-3,2-3,,>3,>3,,,,,,,,,,,,,,,,,,,,,,,,
2008 Parliamentary - Party List,Tbilisi Precinct,Indicators,Average votes per minute (12:00-17:00),ხმების რაოდენობა ერთ წუთში (12:00-17:00),,0,0,,0-1,0-1,,1-2,1-2,,2-3,2-3,,>3,>3,,,,,,,,,,,,,,,,,,,,,,,,
