Event	 Shape Type	 en: Indicator Name	 en: Indicator Abbrv	 en: Indicator Description	 ka: Indicator Name	 ka: Indicator Abbrv	 ka: Indicator Description	 Number Format (optional: e.g. %)	en: Scale Name	 ka: Scale Name	 Scale Color	en: Scale Name	 ka: Scale Name	 Scale Color	en: Scale Name	 ka: Scale Name	 Scale Color	en: Scale Name	 ka: Scale Name	 Scale Color	en: Scale Name	 ka: Scale Name	 Scale Color	en: Scale Name	 ka: Scale Name	 Scale Color	en: Scale Name	 ka: Scale Name	 Scale Color	en: Scale Name	 ka: Scale Name	 Scale Color	en: Scale Name	 ka: Scale Name	 Scale Color	en: Scale Name	 ka: Scale Name	 Scale Color	en: Scale Name	 ka: Scale Name	 Scale Color	en: Scale Name	 ka: Scale Name	 Scale Color			
2010 Local Election - Party List 	Precinct	Average votes per minute (17:00-20:00)	VPM 17:00-20:00	Average votes per minute (17:00-20:00)	ხმების რაოდენობა ერთ წუთში (17:00-20:00)	VPM 17:00-20:00	ხმების რაოდენობა ერთ წუთში (17:00-20:00)		0	0		0-1	0-1		1-2	1-2		2-3	2-3		>3	>3																									
2010 Local Election - Party List 	Precinct	Total Turnout (%)	TT%	Total Turnout (%)	სულ (%)	სულ%	სულ (%)	%	0-5	0-5	#EEDC82	5-10	5-10	#FFFF00	10-15	10-15	#F4A460	15-20	15-20	#FFB6C1	20-30	20-30	#8EE5EE	30-40	30-40	#32CD32	40-50	40-50	#006400	50-60	50-60	#00BFFF	60-70	60-70	#000080	70-80	70-80	#FF0000	80-90	80-90	#D02090	90-100	90-100	#B22222	>100	>100	#000000
2010 Local Election - Party List 	Precinct	Total Turnout (#)	TT#	Total Turnout (#)	სულ (#)	სულ#	სულ (#)		0	0		0-500	0-500		500-1000	500-1000		1000-1500	1000-1500		1500-2000	1500-2000		2000-2500	2000-2500		>2500	>2500																			
2010 Local Election - Party List 	Precinct	Vote share Alliance for Georgia (%)	Alliance	Vote share Alliance for Georgia (%)	ალიანსი საქართველოსთვის (%)	ალიანსი	ალიანსი საქართველოსთვის (%)	%	0-5	0-5	#EEDC82	5-10	5-10	#FFFF00	10-15	10-15	#F4A460	15-20	15-20	#FFB6C1	20-30	20-30	#8EE5EE	30-40	30-40	#32CD32	40-50	40-50	#006400	50-60	50-60	#00BFFF	60-70	60-70	#000080	70-80	70-80	#FF0000	80-90	80-90	#D02090	90-100	90-100	#B22222	>100	>100	#000000
2010 Local Election - Party List 	Precinct	Vote share CDM (%)	CDM	Vote share CDM (%)	ქდმ (%)	ქდმ	ქდმ (%)	%	0-5	0-5	#EEDC82	5-10	5-10	#FFFF00	10-15	10-15	#F4A460	15-20	15-20	#FFB6C1	20-30	20-30	#8EE5EE	30-40	30-40	#32CD32	40-50	40-50	#006400	50-60	50-60	#00BFFF	60-70	60-70	#000080	70-80	70-80	#FF0000	80-90	80-90	#D02090	90-100	90-100	#B22222	>100	>100	#000000
2010 Local Election - Party List 	Precinct	Vote share Freedom Party (%)	Freedom	Vote share Freedom Party (%)	თავისუფლება (%)	თავისუფლება	თავისუფლება (%)	%	0-5	0-5	#EEDC82	5-10	5-10	#FFFF00	10-15	10-15	#F4A460	15-20	15-20	#FFB6C1	20-30	20-30	#8EE5EE	30-40	30-40	#32CD32	40-50	40-50	#006400	50-60	50-60	#00BFFF	60-70	60-70	#000080	70-80	70-80	#FF0000	80-90	80-90	#D02090	90-100	90-100	#B22222	>100	>100	#000000
2010 Local Election - Party List 	Precinct	Vote share Future Georgia (%)	FG	Vote share Future Georgia (%)	მომავალი საქართველო (%)	მომავალი საქართველო	მომავალი საქართველო (%)	%	0-5	0-5	#EEDC82	5-10	5-10	#FFFF00	10-15	10-15	#F4A460	15-20	15-20	#FFB6C1	20-30	20-30	#8EE5EE	30-40	30-40	#32CD32	40-50	40-50	#006400	50-60	50-60	#00BFFF	60-70	60-70	#000080	70-80	70-80	#FF0000	80-90	80-90	#D02090	90-100	90-100	#B22222	>100	>100	#000000
2010 Local Election - Party List 	Precinct	Vote share Ivanishvili Public Democrats (%)	Ivanishvili	Vote share Ivanishvili Public Democrats (%)	ივანიშვილი სახალხო დემოკრატები (%)	ივანიშვილი	ივანიშვილი სახალხო დემოკრატები (%)	%	0-5	0-5	#EEDC82	5-10	5-10	#FFFF00	10-15	10-15	#F4A460	15-20	15-20	#FFB6C1	20-30	20-30	#8EE5EE	30-40	30-40	#32CD32	40-50	40-50	#006400	50-60	50-60	#00BFFF	60-70	60-70	#000080	70-80	70-80	#FF0000	80-90	80-90	#D02090	90-100	90-100	#B22222	>100	>100	#000000
2010 Local Election - Party List 	Precinct	Vote share Mamulishvili (%)	Mamulishvili	Vote share Mamulishvili (%)	მამულიშვილი (%)	მამულიშვილი	მამულიშვილი (%)	%	0-5	0-5	#EEDC82	5-10	5-10	#FFFF00	10-15	10-15	#F4A460	15-20	15-20	#FFB6C1	20-30	20-30	#8EE5EE	30-40	30-40	#32CD32	40-50	40-50	#006400	50-60	50-60	#00BFFF	60-70	60-70	#000080	70-80	70-80	#FF0000	80-90	80-90	#D02090	90-100	90-100	#B22222	>100	>100	#000000
2010 Local Election - Party List 	Precinct	Vote share National Council (%)	NC	Vote share National Council (%)	ეროვნული საბჭო (%)	ეროვნული საბჭო	ეროვნული საბჭო (%)	%	0-5	0-5	#EEDC82	5-10	5-10	#FFFF00	10-15	10-15	#F4A460	15-20	15-20	#FFB6C1	20-30	20-30	#8EE5EE	30-40	30-40	#32CD32	40-50	40-50	#006400	50-60	50-60	#00BFFF	60-70	60-70	#000080	70-80	70-80	#FF0000	80-90	80-90	#D02090	90-100	90-100	#B22222	>100	>100	#000000
