Event	 Shape Type	 en: Indicator Name	 en: Indicator Abbrv	 en: Indicator Description	 ka: Indicator Name	 ka: Indicator Abbrv	 ka: Indicator Description	 Number Format (optional: e.g. %)	en: Scale Name	 ka: Scale Name	 Scale Color	en: Scale Name	 ka: Scale Name	 Scale Color	en: Scale Name	 ka: Scale Name	 Scale Color	en: Scale Name	 ka: Scale Name	 Scale Color	en: Scale Name	 ka: Scale Name	 Scale Color	en: Scale Name	 ka: Scale Name	 Scale Color	en: Scale Name	 ka: Scale Name	 Scale Color	en: Scale Name	 ka: Scale Name	 Scale Color	en: Scale Name	 ka: Scale Name	 Scale Color	en: Scale Name	 ka: Scale Name	 Scale Color	en: Scale Name	 ka: Scale Name	 Scale Color	en: Scale Name	 ka: Scale Name	 Scale Color			
2008 Adjara Supreme Council - Party List	Precinct	Vote share CDM (%)	CDM	Vote share CDM (%)	ქდმ (%)	ქდმ	ქდმ (%)	%	0-5	0-5	#EEDC82	5-10	5-10	#FFFF00	10-15	10-15	#F4A460	15-20	15-20	#FFB6C1	20-30	20-30	#8EE5EE	30-40	30-40	#32CD32	40-50	40-50	#006400	50-60	50-60	#00BFFF	60-70	60-70	#000080	70-80	70-80	#FF0000	80-90	80-90	#D02090	90-100	90-100	#B22222	>100	>100	#000000
2008 Adjara Supreme Council - Party List	Precinct	Vote share Georgian Group (%)	Geo. Group	Vote share Georgian Group (%)	ქართული დასი (%)	ქართული დასი	ქართული დასი (%)	%	0-5	0-5	#EEDC82	5-10	5-10	#FFFF00	10-15	10-15	#F4A460	15-20	15-20	#FFB6C1	20-30	20-30	#8EE5EE	30-40	30-40	#32CD32	40-50	40-50	#006400	50-60	50-60	#00BFFF	60-70	60-70	#000080	70-80	70-80	#FF0000	80-90	80-90	#D02090	90-100	90-100	#B22222	>100	>100	#000000
2008 Adjara Supreme Council - Party List	Precinct	Vote share Industry Will Save Georgia (%)	Ind.	Vote share Industry Will Save Georgia (%)	მრეწველობა გადაარჩენს საქართველოს (%)	Ind.	მრეწველობა გადაარჩენს საქართველოს (%)	%	0-5	0-5	#EEDC82	5-10	5-10	#FFFF00	10-15	10-15	#F4A460	15-20	15-20	#FFB6C1	20-30	20-30	#8EE5EE	30-40	30-40	#32CD32	40-50	40-50	#006400	50-60	50-60	#00BFFF	60-70	60-70	#000080	70-80	70-80	#FF0000	80-90	80-90	#D02090	90-100	90-100	#B22222	>100	>100	#000000
2008 Adjara Supreme Council - Party List	Precinct	Vote share United Communist Party (%)	UCP	Vote share United Communist Party (%)	ერთიანი კომუნისტური პარტია (%)	კომუნისტები	ერთიანი კომუნისტური პარტია (%)	%	0-5	0-5	#EEDC82	5-10	5-10	#FFFF00	10-15	10-15	#F4A460	15-20	15-20	#FFB6C1	20-30	20-30	#8EE5EE	30-40	30-40	#32CD32	40-50	40-50	#006400	50-60	50-60	#00BFFF	60-70	60-70	#000080	70-80	70-80	#FF0000	80-90	80-90	#D02090	90-100	90-100	#B22222	>100	>100	#000000
2008 Adjara Supreme Council - Party List	Precinct	Vote share United National Movement (%)	UNM	Vote share United National Movement (%)	ნაც. მოძრაობა (%)	ნაც. მოძრაობა	ნაც. მოძრაობა (%)	%	0-5	0-5	#EEDC82	5-10	5-10	#FFFF00	10-15	10-15	#F4A460	15-20	15-20	#FFB6C1	20-30	20-30	#8EE5EE	30-40	30-40	#32CD32	40-50	40-50	#006400	50-60	50-60	#00BFFF	60-70	60-70	#000080	70-80	70-80	#FF0000	80-90	80-90	#D02090	90-100	90-100	#B22222	>100	>100	#000000
2008 Adjara Supreme Council - Party List	Precinct	Vote share We Ourselves (%)	WO	Vote share We Ourselves (%)	ჩვენ თვითონ (%)	ჩვენ თვითონ	ჩვენ თვითონ (%)	%	0-5	0-5	#EEDC82	5-10	5-10	#FFFF00	10-15	10-15	#F4A460	15-20	15-20	#FFB6C1	20-30	20-30	#8EE5EE	30-40	30-40	#32CD32	40-50	40-50	#006400	50-60	50-60	#00BFFF	60-70	60-70	#000080	70-80	70-80	#FF0000	80-90	80-90	#D02090	90-100	90-100	#B22222	>100	>100	#000000
2008 Adjara Supreme Council - Party List	Region	Total Turnout (%)	TT%	Total Turnout (%)	სულ (%)	სულ%	სულ (%)	%	0-5	0-5	#EEDC82	5-10	5-10	#FFFF00	10-15	10-15	#F4A460	15-20	15-20	#FFB6C1	20-30	20-30	#8EE5EE	30-40	30-40	#32CD32	40-50	40-50	#006400	50-60	50-60	#00BFFF	60-70	60-70	#000080	70-80	70-80	#FF0000	80-90	80-90	#D02090	90-100	90-100	#B22222	>100	>100	#000000
2008 Adjara Supreme Council - Party List	Region	Total Turnout (#)	TT#	Total Turnout (#)	სულ (#)	სულ#	სულ (#)		0	0		0-50000	0-50000		50000-100000	50000-100000		100000-150000	100000-150000		150000-200000	150000-200000		200000-300000	200000-300000		300000-400000	300000-400000		400000-500000	400000-500000		>500000	>500000													
2008 Adjara Supreme Council - Party List	Region	Vote share CDM (%)	CDM	Vote share CDM (%)	ქდმ (%)	ქდმ	ქდმ (%)	%	0-5	0-5	#EEDC82	5-10	5-10	#FFFF00	10-15	10-15	#F4A460	15-20	15-20	#FFB6C1	20-30	20-30	#8EE5EE	30-40	30-40	#32CD32	40-50	40-50	#006400	50-60	50-60	#00BFFF	60-70	60-70	#000080	70-80	70-80	#FF0000	80-90	80-90	#D02090	90-100	90-100	#B22222	>100	>100	#000000
2008 Adjara Supreme Council - Party List	Region	Vote share Georgian Group (%)	Geo. Group	Vote share Georgian Group (%)	ქართული დასი (%)	ქართული დასი	ქართული დასი (%)	%	0-5	0-5	#EEDC82	5-10	5-10	#FFFF00	10-15	10-15	#F4A460	15-20	15-20	#FFB6C1	20-30	20-30	#8EE5EE	30-40	30-40	#32CD32	40-50	40-50	#006400	50-60	50-60	#00BFFF	60-70	60-70	#000080	70-80	70-80	#FF0000	80-90	80-90	#D02090	90-100	90-100	#B22222	>100	>100	#000000
2008 Adjara Supreme Council - Party List	Region	Vote share Industry Will Save Georgia (%)	Ind.	Vote share Industry Will Save Georgia (%)	მრეწველობა გადაარჩენს საქართველოს (%)	Ind.	მრეწველობა გადაარჩენს საქართველოს (%)	%	0-5	0-5	#EEDC82	5-10	5-10	#FFFF00	10-15	10-15	#F4A460	15-20	15-20	#FFB6C1	20-30	20-30	#8EE5EE	30-40	30-40	#32CD32	40-50	40-50	#006400	50-60	50-60	#00BFFF	60-70	60-70	#000080	70-80	70-80	#FF0000	80-90	80-90	#D02090	90-100	90-100	#B22222	>100	>100	#000000
2008 Adjara Supreme Council - Party List	Region	Vote share United Communist Party (%)	UCP	Vote share United Communist Party (%)	ერთიანი კომუნისტური პარტია (%)	კომუნისტები	ერთიანი კომუნისტური პარტია (%)	%	0-5	0-5	#EEDC82	5-10	5-10	#FFFF00	10-15	10-15	#F4A460	15-20	15-20	#FFB6C1	20-30	20-30	#8EE5EE	30-40	30-40	#32CD32	40-50	40-50	#006400	50-60	50-60	#00BFFF	60-70	60-70	#000080	70-80	70-80	#FF0000	80-90	80-90	#D02090	90-100	90-100	#B22222	>100	>100	#000000
2008 Adjara Supreme Council - Party List	Region	Vote share United National Movement (%)	UNM	Vote share United National Movement (%)	ნაც. მოძრაობა (%)	ნაც. მოძრაობა	ნაც. მოძრაობა (%)	%	0-5	0-5	#EEDC82	5-10	5-10	#FFFF00	10-15	10-15	#F4A460	15-20	15-20	#FFB6C1	20-30	20-30	#8EE5EE	30-40	30-40	#32CD32	40-50	40-50	#006400	50-60	50-60	#00BFFF	60-70	60-70	#000080	70-80	70-80	#FF0000	80-90	80-90	#D02090	90-100	90-100	#B22222	>100	>100	#000000
2008 Adjara Supreme Council - Party List	Region	Vote share We Ourselves (%)	WO	Vote share We Ourselves (%)	ჩვენ თვითონ (%)	ჩვენ თვითონ	ჩვენ თვითონ (%)	%	0-5	0-5	#EEDC82	5-10	5-10	#FFFF00	10-15	10-15	#F4A460	15-20	15-20	#FFB6C1	20-30	20-30	#8EE5EE	30-40	30-40	#32CD32	40-50	40-50	#006400	50-60	50-60	#00BFFF	60-70	60-70	#000080	70-80	70-80	#FF0000	80-90	80-90	#D02090	90-100	90-100	#B22222	>100	>100	#000000
